Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SCT/2516,1/13/2025,SHIVAM CERAMIC,08RGRPS6076N1ZS,Pahoona,Rajasthan,CERAMIC GLAZE TILES,69072300,2920,"1,75,200.00",613,18,"1,75,813.00","31,646.00",0,0,0,"2,07,459.00"
SCT/2517,1/13/2025,HIMALAYA ENTERPRISE,27BSCPS5067E1ZK,PALGHAR,Maharashtra,CERAMIC GLAZE TILES,69072300,2475,"1,48,500.00",519.87,18,"1,49,019.85","26,823.73",0,0,0,"2,15,808.00"
SCT/2517,1/13/2025,HIMALAYA ENTERPRISE,27BSCPS5067E1ZK,PALGHAR,Maharashtra,CERAMIC GLAZE TILES,69072300,825,"24,750.00",86.63,18,"24,836.64","4,470.60",0,0,0,"2,15,808.00"
SCT/2517,1/13/2025,HIMALAYA ENTERPRISE,27BSCPS5067E1ZK,PALGHAR,Maharashtra,CERAMIC GLAZE TILES,69072300,150,"9,000.00",31.5,18,"9,031.51","1,625.67",0,0,0,"2,15,808.00"
SCT/2518,1/13/2025,GURU INTERNATIONAL,24ALOPN8781C1ZR,Morbi,Gujarat,CERAMIC GLAZE TILES,69072300,1444,"93,860.00",0,18,"93,860.00",0,"8,447.50","8,447.50",0,"1,22,260.00"
SCT/2518,1/13/2025,GURU INTERNATIONAL,24ALOPN8781C1ZR,Morbi,Gujarat,CERAMIC GLAZE TILES,69072300,150,"9,750.00",0,18,"9,750.00",0,877.5,877.5,0,"1,22,260.00"
SCT/2519,1/13/2025,A.B. TILES HOUSE,18AXPPH3260H1ZB,Karimganj,Assam,CERAMIC GLAZE TILES,69072300,1241,"74,460.00",261.01,18,"74,720.95","13,449.51",0,0,0,"1,03,730.00"
SCT/2519,1/13/2025,A.B. TILES HOUSE,18AXPPH3260H1ZB,Karimganj,Assam,CERAMIC GLAZE TILES,69072300,219,"13,140.00",45.99,18,"13,186.05","2,373.49",0,0,0,"1,03,730.00"
SCT/2520,1/15/2025,S P MARKETING,24AOYPB3050K1ZU,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1030,"25,750.00",0,18,"25,750.00",0,"2,318.00","2,318.00",0,"30,386.00"
SCT/2521,1/15/2025,AEQ SLAB TILES,24ACWPF1968N1ZW,Morbi,Gujarat,CERAMIC GLAZE TILES,69072300,167,"13,360.00",0,18,"13,360.00",0,"1,202.00","1,202.00",0,"15,764.00"
SCT/2522,1/15/2025,DIAMOND CERAMIC,36AAMFD4892P1ZJ,HYDERABAD,Telangana,CERAMIC GLAZE TILES,69072300,2803,"1,68,180.00",588.87,18,"1,68,768.79","30,378.44",0,0,0,"2,95,275.00"
SCT/2522,1/15/2025,DIAMOND CERAMIC,36AAMFD4892P1ZJ,HYDERABAD,Telangana,CERAMIC GLAZE TILES,69072300,1353,"81,180.00",284.13,18,"81,464.21","14,663.56",0,0,0,"2,95,275.00"
SCT/2523,1/15/2025,VIHA CERAMICA,24AATFV5169N1Z7,LALPAR,Gujarat,CERAMIC GLAZE TILES,69072300,100,"5,000.00",0,18,"5,000.00",0,450,450,0,"5,900.00"
SCT/2524,1/15/2025,SRI SHANKAR TRADERS,33AGXPR4333E1Z6,KANGAYAM,Tamil Nadu,CERAMIC GLAZE TILES,69072300,1465,"1,17,200.00",410,18,"1,17,610.00","21,170.00",0,0,0,"1,38,780.00"
